slug,left,top,right,bottom,face_top_frac,face_centre_frac,face_bottom_frac,clamped
tyler-adams,1326,0,2468,1428,0.1436,0.2686,0.3936,True
tyrone-mings,804,0,3405,3252,0.2343,0.4425,0.6507,True
umar-sadiq,1596,137,2496,1261,0.1504,0.2754,0.4004,False
unai-simon,1638,120,3446,2380,0.15,0.275,0.4,False
valentin-rongier,2632,1132,5429,4628,0.1499,0.2749,0.3999,False
victor-boniface,361,0,1226,1080,0.1204,0.3005,0.4806,True
victor-lindelof,588,0,2315,2159,0.1121,0.2601,0.4081,True
victor-osimhen,978,0,2610,2040,0.0775,0.2137,0.35,True
viktor-gyokeres,1426,0,3154,2160,0.187,0.3523,0.5176,True
vincenzo-grifo,1989,75,2588,823,0.1497,0.2747,0.3997,False
vinicius-junior,423,0,2470,2560,0.2449,0.3715,0.498,True
virgil-van-dijk,932,0,2660,2160,0.138,0.285,0.4319,True
vitinha,1126,0,2854,2160,0.1699,0.3287,0.4875,True
walter-benitez,942,460,1870,1620,0.15,0.275,0.4,False
warren-zaire-emery,1399,32,3344,2464,0.2068,0.3318,0.4568,True
wataru-endo,2000,282,2826,1314,0.1502,0.2752,0.4002,False
wesley-fofana,1144,0,2872,2160,0.144,0.2771,0.4102,True
weston-mckennie,1317,46,1993,890,0.1505,0.2755,0.4005,False
willi-orban,1057,170,1671,938,0.1497,0.2747,0.3997,False
william-saliba,1769,68,3410,2120,0.1501,0.2751,0.4001,False
wojciech-szczesny,1715,71,2797,1423,0.1501,0.2751,0.4001,False
xaver-schlager,0,476,2281,3328,0.1501,0.325,0.5,True
xavi-simons,1546,494,2951,2250,0.1498,0.2748,0.3998,False
yan-couto,738,0,2594,2320,0.1487,0.2763,0.4039,True
yan-diomande,1294,90,2302,1350,0.15,0.275,0.4,False
yangel-herrera,749,0,2359,2012,0.0959,0.2209,0.3459,True
yann-sommer,965,0,2513,1935,0.1442,0.2729,0.4016,True
yannick-carrasco,2584,284,3764,1760,0.1497,0.2747,0.3997,False
yassine-bounou,832,0,2560,2160,0.2384,0.4005,0.5625,True
yeremy-pino,1384,0,3397,2516,0.1324,0.2574,0.3824,True
youri-tielemans,432,0,1168,920,0.1359,0.2913,0.4467,True
youssef-en-nesyri,1201,0,3453,2815,0.1851,0.3192,0.4533,True
youssouf-fofana,1242,465,2039,1461,0.1496,0.2746,0.3996,False
yuri,562,41,1960,1789,0.1499,0.2749,0.3999,False
yves-bissouma,1128,0,3078,2437,0.1998,0.3982,0.5966,True
