slug,left,top,right,bottom,face_top_frac,face_centre_frac,face_bottom_frac,clamped
joao-cancelo,1182,0,2529,1683,0.2923,0.4427,0.593,True
joao-felix,1358,0,2705,1684,0.1419,0.2669,0.3919,True
joao-mario,806,0,2444,2048,0.2002,0.3643,0.5283,True
joao-palhinha,1287,0,2414,1408,0.1129,0.2379,0.3629,True
joao-pedro,825,0,2313,1860,0.1978,0.4048,0.6118,True
joe-gomez,1110,459,2735,2491,0.1501,0.2751,0.4001,False
joe-willock,1524,78,2663,1502,0.1503,0.2753,0.4003,False
joelinton,1504,264,2573,1600,0.1497,0.2747,0.3997,False
john-mcginn,1061,0,2789,2160,0.1421,0.2773,0.4125,True
john-stones,1204,0,3456,2815,0.1677,0.3147,0.4618,True
jonas-hofmann,1845,0,3467,2028,0.108,0.233,0.358,True
jonathan-clauss,1022,0,2572,1937,0.365,0.5292,0.6933,True
jonathan-david,597,44,2031,1836,0.1501,0.2751,0.4001,False
jonathan-tah,1192,0,2939,2184,0.1461,0.2711,0.3961,True
jordan-henderson,968,0,2696,2160,0.1741,0.3255,0.4769,True
jordan-pickford,1090,0,2558,1836,0.1215,0.2465,0.3715,True
jorge-cuenca,1229,147,1860,935,0.1497,0.2747,0.3997,False
jose-gaya,1214,0,2711,1872,0.0972,0.2222,0.3472,True
jose-gimenez,947,0,2665,2148,0.1201,0.2451,0.3701,True
joshua-kimmich,946,0,2674,2160,0.1829,0.3148,0.4468,True
joshua-zirkzee,1929,192,2886,1388,0.1497,0.2747,0.3997,False
josko-gvardiol,952,0,2664,2140,0.1299,0.2549,0.3799,True
juan-foyth,1192,167,1832,967,0.15,0.275,0.4,False
jude-bellingham,1347,0,2697,1688,0.08,0.205,0.33,True
jules-kounde,1200,0,2928,2160,0.1204,0.2727,0.425,True
julian-alvarez,1345,0,2795,1812,0.112,0.237,0.362,True
julian-brandt,585,0,2475,2362,0.1744,0.3279,0.4814,True
julian-ryerson,2223,130,4664,3182,0.1501,0.2751,0.4001,False
jurrien-timber,964,0,2692,2160,0.1894,0.3181,0.4468,True
justin-bijlow,1015,0,2607,1989,0.1483,0.2911,0.4339,True
justin-kluivert,1462,36,2582,1436,0.15,0.275,0.4,False
kai-havertz,1506,108,3455,2544,0.1498,0.2748,0.3998,False
kalidou-koulibaly,604,0,1468,1080,0.1352,0.2769,0.4185,True
kang-in-lee,823,179,2094,1767,0.1499,0.2749,0.3999,False
kaoru-mitoma,1228,25,2460,1565,0.15,0.275,0.4,False
karim-adeyemi,901,264,2719,2536,0.1501,0.2751,0.4001,False
karim-benzema,1830,31,2956,1439,0.1499,0.2749,0.3999,False
kenny-tete,1044,134,1832,1118,0.1504,0.2754,0.4004,False
kepa-arrizabalaga,1107,101,1904,1097,0.1496,0.2746,0.3996,False
kevin-danso,1184,0,2192,1260,0.1365,0.2615,0.3865,True
kevin-de-bruyne,389,140,2005,2160,0.1723,0.2973,0.4223,True
kevin-kampl,1631,187,2667,1483,0.1497,0.2747,0.3997,False
kevin-trapp,189,43,561,507,0.1509,0.2759,0.4009,False
keylor-navas,1267,131,2119,1195,0.1504,0.2754,0.4004,False
khephren-thuram,889,31,1647,979,0.1498,0.2748,0.3998,False
khvicha-kvaratskhelia,1356,391,2437,1743,0.1501,0.2751,0.4001,False
kieran-tierney,415,529,1772,2225,0.1498,0.2748,0.3998,False
kieran-trippier,911,0,2559,2061,0.1121,0.2462,0.3804,True
kim-min-jae,1170,0,2786,2020,0.1267,0.2517,0.3767,True
kingsley-coman,1203,384,2077,1476,0.1502,0.2752,0.4002,False
koke,1065,37,2512,1845,0.1499,0.2749,0.3999,False
konrad-laimer,2181,140,4849,3476,0.1499,0.2749,0.3999,False
kostas-tsimikas,300,0,2829,3162,0.2473,0.4244,0.6015,True
kristoffer-ajer,436,348,3197,3800,0.1501,0.2751,0.4001,False
kurt-zouma,940,122,2310,1834,0.1501,0.2751,0.4001,False
kyle-walker,1522,169,3263,2345,0.1498,0.2748,0.3998,False
kylian-mbappe,1309,452,2244,1620,0.1498,0.2748,0.3998,False
lautaro-martinez,1351,187,2731,1911,0.1502,0.2752,0.4002,False
lazar-samardzic,908,62,3013,2694,0.1501,0.2751,0.4001,False
leandro-trossard,161,0,461,376,0.133,0.258,0.383,True
leon-bailey,1113,0,2597,1854,0.1958,0.3212,0.4466,True
leon-goretzka,1048,0,2776,2160,0.2088,0.3891,0.5694,True
leonardo-spinazzola,1571,207,2122,895,0.1497,0.2747,0.3997,False
leroy-sane,1112,0,2840,2160,0.1634,0.3007,0.438,True
levi-colwill,447,69,2191,2249,0.15,0.275,0.4,False
lewis-dunk,1126,0,3784,3322,0.1291,0.2687,0.4082,True
lewis-ferguson,1347,132,1910,836,0.1506,0.2756,0.4006,False
lionel-messi,1222,96,2422,1596,0.15,0.275,0.4,False
lisandro-martinez,1130,95,2554,1875,0.15,0.275,0.4,False
lois-openda,1400,323,3067,2407,0.1502,0.2752,0.4002,False
lorenzo-pellegrini,1003,0,3403,3000,0.1893,0.3717,0.554,True
lucas-digne,564,22,1787,1550,0.1499,0.2749,0.3999,False
lucas-hernandez,1022,0,2750,2160,0.1722,0.3148,0.4574,True
lucas-ocampos,603,0,2178,1968,0.1956,0.3384,0.4812,True
lucas-paqueta,740,0,2242,1878,0.1763,0.3104,0.4446,True
lucas-perri,938,0,3510,3215,0.1614,0.2869,0.4124,True
lucas-torreira,1186,222,2898,2362,0.15,0.275,0.4,False
lucas-vazquez,1232,16,3127,2384,0.1499,0.2749,0.3999,False
ludovic-blas,985,0,3119,2667,0.1894,0.3675,0.5456,True
luis-alberto,1311,610,1865,1302,0.1503,0.2753,0.4003,False
luis-diaz,1196,0,2620,1780,0.1253,0.2503,0.3753,True
luis-suarez,991,0,2719,2160,0.1227,0.3137,0.5046,True
luiz-felipe,1400,232,2193,1224,0.1502,0.2752,0.4002,False
luka-modric,916,0,2644,2160,0.138,0.2634,0.3889,True
lukas-klostermann,1481,87,2319,1135,0.1498,0.2748,0.3998,False
luke-shaw,1582,0,3246,2079,0.0861,0.2405,0.3949,True
lutsharel-geertruida,1045,0,2399,1692,0.1206,0.2456,0.3706,True
malick-thiaw,511,0,1979,1836,0.1193,0.2443,0.3693,True
manuel-akanji,941,0,2439,1872,0.1763,0.3072,0.438,True
manuel-locatelli,2805,371,4620,2639,0.1499,0.2749,0.3999,False
manuel-neuer,734,0,2462,2160,0.0606,0.1861,0.3116,True
manuel-ugarte,1557,83,2431,1175,0.1502,0.2752,0.4002,False
marc-andre-ter-stegen,1208,0,2833,2032,0.1299,0.2549,0.3799,True
marc-cucurella,0,28,2141,2704,0.1499,0.307,0.4641,True
marc-guehi,643,0,2839,2745,0.1872,0.3417,0.4962,True
marc-roca,1654,94,2630,1314,0.15,0.275,0.4,False
marcao,569,278,1571,1530,0.1502,0.2752,0.4002,False
marcel-sabitzer,1303,0,2545,1552,0.0683,0.1933,0.3183,True
marcelo-brozovic,746,0,2338,1989,0.1528,0.3084,0.4641,True
marco-asensio,1237,0,2849,2016,0.1052,0.2302,0.3552,True
marco-verratti,1648,0,3268,2025,0.1205,0.2481,0.3758,True
marcos-alonso,768,0,2326,1948,0.1242,0.2492,0.3742,True
marcos-llorente,433,4,1293,1080,0.1626,0.2876,0.4126,True
marcus-rashford,1951,0,4492,3176,0.0712,0.1962,0.3212,True
marcus-thuram,961,0,2690,2160,0.1056,0.2611,0.4167,True
mario-gotze,1116,119,2140,1399,0.15,0.275,0.4,False
mario-hermoso,685,129,1987,1757,0.1499,0.2749,0.3999,False
mario-pasalic,1206,0,2746,1924,0.1315,0.2565,0.3815,True
marquinhos,1484,0,2943,1824,0.1299,0.2549,0.3799,True
marten-de-roon,1089,182,3386,3054,0.1501,0.2751,0.4001,False
martin-odegaard,1138,0,2866,2160,0.144,0.2824,0.4208,True
martin-terrier,773,225,2466,2341,0.1498,0.2748,0.3998,False
martin-zubimendi,1283,48,2419,1468,0.15,0.275,0.4,False
mason-mount,1014,0,2742,2160,0.1852,0.3289,0.4727,True
mateo-kovacic,1498,48,2589,1412,0.1503,0.2753,0.4003,False
mateus-uribe,793,0,2749,2444,0.1612,0.2954,0.4296,True
matheus-cunha,1379,0,3040,2076,0.1411,0.2661,0.3911,True
matheus-nunes,942,124,2375,1916,0.1501,0.2751,0.4001,False
mathias-jensen,574,0,3339,3456,0.1207,0.2966,0.4725,True
mathias-olivera,1075,165,1639,869,0.1506,0.2756,0.4006,False
matias-vecino,3092,272,4238,1704,0.1501,0.2751,0.4001,False
mats-hummels,2035,0,4310,2844,0.1744,0.3386,0.5028,True
matteo-politano,1431,147,2483,1463,0.1497,0.2747,0.3997,False
matteo-ruggeri,732,554,2745,3070,0.1498,0.2748,0.3998,False
matthias-ginter,1664,199,2660,1443,0.1503,0.2753,0.4003,False
matthijs-de-ligt,1040,0,2768,2160,0.187,0.3512,0.5153,True
mattia-zaccagni,277,519,2350,3111,0.1501,0.2751,0.4001,False
mauro-icardi,1510,212,3571,2788,0.1498,0.2748,0.3998,False
memphis-depay,943,0,2463,1899,0.129,0.2846,0.4402,True
michael-olise,1239,0,2352,1392,0.1372,0.2622,0.3872,True
michele-di-gregorio,1756,0,3708,2440,0.0648,0.1898,0.3148,True
micky-van-de-ven,929,0,2404,1843,0.127,0.2653,0.4037,True
miguel-gutierrez,1126,0,2854,2160,0.1977,0.3264,0.4551,True
mike-maignan,776,0,1480,880,0.0614,0.1864,0.3114,True
mikel-merino,560,0,1981,1776,0.1289,0.2539,0.3789,True
mikel-oyarzabal,363,315,3199,3859,0.1755,0.3005,0.4255,True
milan-skriniar,1334,0,2223,1112,0.134,0.259,0.384,True
mohamed-salah,744,0,2432,2111,0.1378,0.3266,0.5154,True
mohammed-kudus,992,0,2640,2060,0.1083,0.2333,0.3583,True
moise-kean,1092,8,1972,1108,0.15,0.275,0.4,False
moises-caicedo,1218,0,2524,1632,0.0974,0.2224,0.3474,True
morten-hjulmand,938,0,2666,2160,0.1977,0.3984,0.5991,True
mouctar-diakhaby,1238,323,2546,1959,0.1498,0.2748,0.3998,False
moussa-diaby,1447,12,2352,1144,0.1502,0.2752,0.4002,False
myles-lewis-skelly,965,0,2492,1908,0.1226,0.2568,0.391,True
n-golo-kante,1092,0,2039,1184,0.1132,0.2382,0.3632,True
nahuel-molina,1069,0,3166,2621,0.0904,0.2406,0.3907,True
nathan-ake,279,315,691,831,0.1492,0.2742,0.3992,False
nayef-aguerd,1036,0,2338,1628,0.113,0.238,0.363,True
nemanja-matic,2309,275,3327,1547,0.1502,0.2752,0.4002,False
neymar,1093,0,2821,2160,0.1079,0.2475,0.387,True
nick-pope,1033,159,2089,1479,0.15,0.275,0.4,False
nico-schlotterbeck,956,0,2684,2160,0.1977,0.3435,0.4894,True
nico-williams,1579,366,3524,2798,0.1501,0.2751,0.4001,False
nicolas-gonzalez,1501,124,2400,1248,0.1504,0.2754,0.4004,False
nicolas-jackson,942,36,2472,1948,0.1501,0.2751,0.4001,False
nicolas-otamendi,1585,0,2414,1036,0.1129,0.2379,0.3629,True
nicolo-barella,874,0,2333,1824,0.1431,0.2681,0.3931,True
nicolo-fagioli,797,107,1377,831,0.1506,0.2756,0.4006,False
nicolo-rovella,1893,84,3321,1868,0.1502,0.2752,0.4002,False
nicolo-zaniolo,1165,0,2893,2160,0.1657,0.3428,0.5199,True
nikola-milenkovic,780,0,2134,1692,0.1359,0.2609,0.3859,True
nikola-vlasic,1734,257,2445,1145,0.1498,0.2748,0.3998,False
noa-lang,1149,0,2737,1984,0.1477,0.2727,0.3977,True
noah-okafor,1319,0,3046,2159,0.1399,0.2858,0.4317,True
nordi-mukiele,916,248,1796,1348,0.15,0.275,0.4,False
noussair-mazraoui,1437,51,2327,1163,0.1502,0.2752,0.4002,False
nuno-mendes,1244,0,2972,2160,0.213,0.39,0.5671,True
odilon-kossounou,1829,78,2869,1378,0.15,0.275,0.4,False
oihan-sancet,0,0,1999,2499,0.1204,0.3607,0.601,True
oleksandr-zinchenko,702,0,2302,2000,0.159,0.3167,0.4745,True
olivier-giroud,744,0,2472,2160,0.112,0.2387,0.3653,True
ollie-watkins,803,0,2287,1856,0.1482,0.2732,0.3982,True
otavio,1845,107,3758,2499,0.1501,0.2751,0.4001,False
