Name,Ability,Times Acquired,Acquisition Rate,Avg Price,Ability Per Price,Win Rate
Guido Rodríguez,155.0,5776,0.0289,22682132.96,6.83e-06,0.3887
Thomas Partey,155.0,15568,0.0778,21851169.06,7.09e-06,0.3876
Gabriel,156.0,10064,0.0503,22337142.29,6.98e-06,0.3862
Romelu Lukaku,157.0,8990,0.0449,22334593.99,7.03e-06,0.3861
Franck Kessié,155.0,5863,0.0293,22190516.8,6.98e-06,0.3858
Yannick Carrasco,155.0,15005,0.075,22055981.34,7.03e-06,0.3853
Emiliano Martínez,157.0,15376,0.0769,21079409.47,7.45e-06,0.385
Adrien Rabiot,156.0,65662,0.3283,15850141.63,9.84e-06,0.384
Thiago Silva,156.0,10110,0.0505,22301978.24,6.99e-06,0.3827
Gregor Kobel,156.0,15449,0.0772,21102466.18,7.39e-06,0.3805
Mats Hummels,155.0,9987,0.0499,22448983.68,6.9e-06,0.3799
Benjamin White,155.0,17011,0.0851,21660102.29,7.16e-06,0.3799
Marcelo Brozovic,155.0,5722,0.0286,22229639.99,6.97e-06,0.3796
Dani Carvajal,155.0,14334,0.0717,21824473.28,7.1e-06,0.3792
Nuno Mendes,152.0,10970,0.0549,22251504.1,6.83e-06,0.3789
Duan Vlahovic,156.0,9118,0.0456,22208708.05,7.02e-06,0.3788
Bremer,155.0,9858,0.0493,22289003.85,6.95e-06,0.3779
Marcus Thuram,157.0,10921,0.0546,22389799.47,7.01e-06,0.3774
Alexander Isak,156.0,8972,0.0449,22598082.92,6.9e-06,0.3768
Alessandro Bastoni,154.0,9936,0.0497,22556562.0,6.83e-06,0.3759
Danilo Pereira,154.0,11480,0.0574,22238588.85,6.92e-06,0.3759
Pedro Porro,154.0,14608,0.073,21769167.58,7.07e-06,0.3747
Wojciech Szczesny,156.0,15395,0.077,21093861.64,7.4e-06,0.374
Olivier Giroud,156.0,8886,0.0444,22049178.48,7.08e-06,0.3738
Darwin Núñez,156.0,10890,0.0544,22198714.42,7.03e-06,0.3736
Serge Gnabry,156.0,13383,0.0669,22222072.78,7.02e-06,0.3732
Giovanni Di Lorenzo,154.0,14279,0.0714,21484347.64,7.17e-06,0.3731
Yann Sommer,156.0,15388,0.0769,21042370.68,7.41e-06,0.373
Manuel Akanji,154.0,17127,0.0856,21661411.81,7.11e-06,0.3727
Federico Chiesa,156.0,13450,0.0673,22408921.93,6.96e-06,0.3719
Mason Mount,156.0,11454,0.0573,22254321.63,7.01e-06,0.3702
Diogo Costa,155.0,15405,0.077,21049789.03,7.36e-06,0.3701
Mauro Icardi,155.0,8993,0.045,22285555.43,6.96e-06,0.3688
Paulo Dybala,155.0,13136,0.0657,22101020.1,7.01e-06,0.3678
Andreas Christensen,154.0,9978,0.0499,22513028.66,6.84e-06,0.3677
Lewis Dunk,154.0,10062,0.0503,22606638.84,6.81e-06,0.3665
Ismaël Bennacer,152.0,5757,0.0288,22345145.04,6.8e-06,0.3649
Sebastián Coates,154.0,10157,0.0508,22444225.66,6.86e-06,0.3649
