Name,Ability,Times Acquired,Acquisition Rate,Avg Price,Ability Per Price,Win Rate
Eddie Nketiah,148.0,11135,0.1114,47756713.07,3.1e-06,0.1599
Charles De Ketelaere,147.0,8675,0.0868,50399538.9,2.92e-06,0.1599
Albert Guðmundsson,147.0,11390,0.1139,47126163.3,3.12e-06,0.1596
Harry Maguire,145.0,8340,0.0834,49124460.43,2.95e-06,0.1596
Reiss Nelson,147.0,9172,0.0917,49457479.28,2.97e-06,0.1595
Andriy Lunin,146.0,12749,0.1275,37983135.93,3.84e-06,0.1588
Rico Lewis,144.0,13050,0.1305,41543984.67,3.47e-06,0.1579
Ramy Bensebaïni,143.0,12141,0.1214,43617494.44,3.28e-06,0.1578
Matteo Ruggeri,142.0,9063,0.0906,45270881.61,3.14e-06,0.1578
Lukas Klostermann,143.0,15947,0.1595,39430174.95,3.63e-06,0.1572
Breel Embolo,146.0,10866,0.1087,47524019.88,3.07e-06,0.157
Nemanja Matic,144.0,4778,0.0478,52609460.03,2.74e-06,0.157
Eric García,144.0,8394,0.0839,49340481.3,2.92e-06,0.1567
Malick Thiaw,144.0,8341,0.0834,48803860.45,2.95e-06,0.1562
Danny Welbeck,146.0,11120,0.1112,46830215.83,3.12e-06,0.1562
Nicolò Fagioli,142.0,6468,0.0647,53333797.16,2.66e-06,0.156
António Silva,143.0,8232,0.0823,49510689.99,2.89e-06,0.1557
Evan N'Dicka,143.0,12127,0.1213,43974024.9,3.25e-06,0.1557
Billy Gilmour,143.0,4946,0.0495,53936109.99,2.65e-06,0.1557
Christian Nørgaard,144.0,4916,0.0492,52526444.26,2.74e-06,0.1556
Denis Zakaria,142.0,4937,0.0494,54148875.84,2.62e-06,0.1556
Lucas Digne,141.0,8978,0.0898,45785030.07,3.08e-06,0.1555
Cristiano Biraghi,141.0,8974,0.0897,46080900.38,3.06e-06,0.1554
Adam Maruic,142.0,14678,0.1468,40642321.84,3.49e-06,0.1554
Youssouf Fofana,143.0,4785,0.0479,52871055.38,2.7e-06,0.1553
Marcão,144.0,8386,0.0839,49528142.14,2.91e-06,0.1553
Ellyes Skhiri,143.0,4792,0.0479,53482262.1,2.67e-06,0.1551
Ollie Watkins,146.0,11223,0.1122,46643678.16,3.13e-06,0.1543
Nikola Milenkovic,144.0,8331,0.0833,49777577.72,2.89e-06,0.1542
Riccardo Orsolini,145.0,8589,0.0859,49661893.12,2.92e-06,0.1539
Joe Willock,145.0,54663,0.5467,20024824.84,7.24e-06,0.1538
Marcos Alonso,143.0,11865,0.1187,43981373.79,3.25e-06,0.1535
Aleix García,143.0,4871,0.0487,53680353.11,2.66e-06,0.1529
Mathías Olivera,142.0,8821,0.0882,45744246.68,3.1e-06,0.1529
João Mário,142.0,12228,0.1223,41575891.4,3.42e-06,0.1528
Sead Kolainac,142.0,12004,0.12,44317644.12,3.2e-06,0.1528
Amadou Haïdara,143.0,4880,0.0488,53981762.3,2.65e-06,0.1527
Wataru Endo,143.0,4713,0.0471,52152768.94,2.74e-06,0.1521
Nicolò Zaniolo,145.0,11480,0.1148,47607926.83,3.05e-06,0.1521
Dávid Hancko,142.0,11982,0.1198,44974461.69,3.16e-06,0.1521
Richarlison,145.0,11049,0.1105,47697257.67,3.04e-06,0.152
Matthias Ginter,143.0,14274,0.1427,41753888.19,3.42e-06,0.152
Denis Suárez,145.0,6535,0.0654,54158377.96,2.68e-06,0.1503
Igor Zubeldia,143.0,9729,0.0973,49052934.53,2.92e-06,0.1498
Giacomo Raspadori,145.0,11450,0.1145,46967161.57,3.09e-06,0.1493
Khephren Thuram,143.0,4899,0.049,51689324.35,2.77e-06,0.149
Bernd Leno,145.0,12923,0.1292,37543836.57,3.86e-06,0.149
Mouctar Diakhaby,142.0,9540,0.0954,48282494.76,2.94e-06,0.1487
Patrik Schick,145.0,7675,0.0768,50029055.37,2.9e-06,0.1485
David De Gea,144.0,12829,0.1283,38290981.37,3.76e-06,0.148
Tyler Adams,142.0,13158,0.1316,41272761.82,3.44e-06,0.1479
Arkadiusz Milik,145.0,7472,0.0747,49185492.51,2.95e-06,0.1478
Aaron Hickey,140.0,14973,0.1497,40077472.78,3.49e-06,0.1474
Nicolò Rovella,141.0,4845,0.0485,53368421.05,2.64e-06,0.1474
Jonathan David,144.0,11029,0.1103,46904524.44,3.07e-06,0.1471
Ander Barrenetxea,145.0,9178,0.0918,49490302.9,2.93e-06,0.147
Donyell Malen,145.0,11139,0.1114,47565221.29,3.05e-06,0.147
Íñigo Ruiz de Galarreta,140.0,4702,0.047,54287111.87,2.58e-06,0.147
Jason Steele,145.0,12741,0.1274,38676869.95,3.75e-06,0.1468
Héctor Bellerín,141.0,12057,0.1206,41438002.82,3.4e-06,0.1458
Victor Lindelöf,142.0,8272,0.0827,50562983.56,2.81e-06,0.1458
Scott McTominay,141.0,6421,0.0642,53348855.32,2.64e-06,0.1458
Noa Lang,145.0,9173,0.0917,49590210.4,2.92e-06,0.1458
Alejandro Garnacho,144.0,9117,0.0912,49281232.86,2.92e-06,0.1452
Patric,142.0,8430,0.0843,48812930.01,2.91e-06,0.1452
