Name,Ability,Times Acquired,Acquisition Rate,Avg Price,Ability Per Price
Giorgio Scalvini,145.0,2893,0.0289,154251987.56,9.4e-07
Ander Barrenetxea,145.0,3128,0.0313,154243286.45,9.4e-07
Jonathan Clauss,145.0,2905,0.029,154196901.89,9.4e-07
Jason Steele,145.0,2835,0.0284,154144973.54,9.4e-07
Giacomo Raspadori,145.0,3260,0.0326,154134355.83,9.4e-07
Victor Boniface,145.0,2700,0.027,154062222.22,9.4e-07
Benjamin Henrichs,145.0,3209,0.0321,154034278.59,9.4e-07
Riccardo Orsolini,145.0,3063,0.0306,154019262.16,9.4e-07
Rico Henry,145.0,2646,0.0265,154008692.37,9.4e-07
Denis Suárez,145.0,2773,0.0277,153983772.09,9.4e-07
Donyell Malen,145.0,3343,0.0334,153968291.95,9.4e-07
Bernd Leno,145.0,2823,0.0282,153961388.59,9.4e-07
Christian Nørgaard,144.0,2154,0.0215,153957753.02,9.4e-07
Edin Deko,145.0,2672,0.0267,153907559.88,9.4e-07
Marc Cucurella,145.0,3192,0.0319,153871867.17,9.4e-07
Kevin Kampl,144.0,2150,0.0215,153848372.09,9.4e-07
Patrik Schick,145.0,2612,0.0261,153836523.74,9.4e-07
Leon Bailey,145.0,3090,0.0309,153800970.87,9.4e-07
Nico Schlotterbeck,145.0,3227,0.0323,153630306.79,9.4e-07
Arthur,144.0,2145,0.0215,153616783.22,9.4e-07
Lazar Samardic,144.0,1863,0.0186,153588298.44,9.4e-07
Tyrone Mings,145.0,3148,0.0315,153567026.68,9.4e-07
Juan Foyth,145.0,3242,0.0324,153518198.64,9.4e-07
Nicolò Zaniolo,145.0,3174,0.0317,153505671.08,9.4e-07
Richarlison,145.0,3144,0.0314,153457061.07,9.4e-07
Noa Lang,145.0,3058,0.0306,153447024.2,9.4e-07
Malick Thiaw,144.0,2934,0.0293,153422631.22,9.4e-07
Cheick Doucouré,144.0,2111,0.0211,153321648.51,9.4e-07
Marcão,144.0,2878,0.0288,153264767.2,9.4e-07
Nikola Milenkovic,144.0,2901,0.029,153247845.57,9.4e-07
Diogo Dalot,144.0,3175,0.0318,153192125.98,9.4e-07
Nemanja Matic,144.0,2085,0.0209,153170743.41,9.4e-07
Alejandro Garnacho,144.0,2995,0.03,153163606.01,9.4e-07
Amadou Haïdara,143.0,2069,0.0207,153022716.29,9.3e-07
Eric García,144.0,3029,0.0303,153018818.09,9.4e-07
Borja Iglesias,144.0,2661,0.0266,152940999.62,9.4e-07
Youssouf Fofana,143.0,2112,0.0211,152876420.45,9.4e-07
David De Gea,144.0,2832,0.0283,152846398.31,9.4e-07
Alfonso Pedraza,144.0,3112,0.0311,152843187.66,9.4e-07
Mario Hermoso,144.0,3208,0.0321,152799251.87,9.4e-07
Igor,144.0,3223,0.0322,152798324.54,9.4e-07
Aleix García,143.0,2158,0.0216,152787303.06,9.4e-07
Tammy Abraham,143.0,2622,0.0262,152786422.58,9.4e-07
